id,origin,title,author,description
18,Canadian,47 Sorrows,Janet Kellough,"In this third novel in the series, Thaddeus Lewis and his son journey into the heart of disaster.When the bloated corpse of a man dressed in women's clothing ..."
19,Canadian,5000 Dead Ducks,CD Evans,"Set in the fictional land of Alberia, 5000 Dead Ducks is about Mavis Wong, an enviro-science graduate who finds herself teamed up with a group of unscrupulous ..."
20,Canadian,59 Glass Bridges,Steven Peters,"In 59 Glass Bridges, an unnamed narrator travels through a maze that is at once mutable and immutable: walls fall to vine-filled forests, hallways to rivers, ..."
21,Canadian,74 Miles Away,J.D. Carpenter,"Long-listed for the 2009 ReLit Award Because business is slow for retired homicide detective Campbell Young's new enterprise, A-1 Investigative ..."
22,Canadian,7 Good Reasons Not To Be Good,John Gould,"Seven Good Reasons Not to Be Good opens with a cryptic postcard from forty-something Matt to his oldest friend, Zane. Zane is dying ó for ""good"" ó but Matt's ..."
23,Canadian,7 Ways to Sunday,Lee Kvern,Lee Kvern's much-anticipated new collection contains stories which revolve around humanity in all its flawed glory: an artist's girlfriend dies by mistake; a ...
24,Canadian,88,Michael Fletcher,"The dream of Artificial Intelligence is dead and the human mind is now the ultimate processing machine. Demand is high, but few are willing to sacrifice their ..."
25,Canadian,8 X 10,Michael Turner,"Shockingly original and intensely intelligent, 8 X 10 is a series of snapshots of a world torn apart by war and migration.Fearless in form, Michael Turner's ..."
26,Canadian,Etienne's Alphabet,James King,"To all who knew him, Etienne Morneau lived unremarkably. Raised in an orphanage, his parents unknown, people considered him reserved, unfeeling, and ..."
27,Canadian,A,Andre Alexis,"A is a work of fiction in which Andre Alexis presents the compelling narrative of Alexander Baddeley, a Toronto book reviewer obsessed with the work of the ..."
28,Canadian,Aaron,Yves Theriault,"W. Donald Wilson and Paul G. Socken's translation of Aaron, by Quebecois author Yves Theriault, makes this fine novel available in English for the first ..."
29,Canadian,A Baby by Easter & A Family for Summer,Lois Richer,Author Lois Richer brings you two stories of love and faithA Baby by Easter Susannah Wells and her unborn baby have nowhere to turn. So when she encounters ...
30,Canadian,A Baby for Christmas,Linda Ford,"From Pregnant Widow to Cowboy's Bride ;For widow Louise Porter, a temporary marriage to cowboy Nate Hawkins seems the only solution to protect her unborn child. ..."
31,Canadian,A Bargain with the Boss,Barbara Dunlop,"With her boss, it's all work and all pleasure! Only from New York Times bestselling author Barbara Dunlop! ;For years, Tuck Tucker has played the role of ..."
32,Canadian,Abattoir Blues,Peter Robinson,"Canada's premier, bestselling crime fiction writer, Peter Robinson gets better and better. The twenty-second book in the much-loved Inspector Banks series ó ..."
33,Canadian,Abby's Journey,Steena Holmes,"Twenty-year-old Abigail Turner has only known her mother, Claireówho died shortly after she was bornóthrough letters, videos, postcards, and journals. ..."
34,Canadian,A Beautiful Truth,Colin McAdam," ; A novel about the simple truths that transcend species, about the meaning of family, the lure of belonging, and the capacity for survival   Walt and Judy are ..."
35,Canadian,A Beauty,Connie Gault,A spellbinding and highly original novel that gives a new name to the Prairie Novel by one of the most exciting new literary voices in Canada. For readers of ...
36,Canadian,A Beckoning War,Matthew Murphy,"Winner: 2016 Foreword Reviews INDIES, Silver, War and Military (Adult Fiction) Captain Jim McFarlane, a Canadian infantry officer, is coming apart at the seams. ..."
37,Canadian,A Better Man,Louise Penny,"""""òA Better Man,' with its mix of meteorological suspense, psychological insight and criminal pursuit, is arguably the best book yet in an outstanding, ..."
38,Canadian,A Bird in the House,Margaret Laurence,"One of Canada's most accomplished authors combines the best qualities of both the short story and the novel to create a lyrical evocation of the beauty, ..."
39,Canadian,A Bird on Every Tree,Carol Bruneau,"Carol Bruneau, author of six acclaimed works of fiction (most recently, These Good Hands), brings her finely honed voice to 12 new stories about shifting ..."
40,Canadian,A Bird's Eye,Cary Fagan,"Shortlisted for the Rogers Writers' Trust Fiction Prize, and selected as an Amazon.ca Best Book.With all the wonder of a small-scale The Amazing Adventures of ..."
41,Canadian,Able Muse Anthology,Alexander Pepple,"The Able Muse Anthology ó from the new Able Muse Press ó celebrates Able Muse's journey through its first decade and beyond, by showcasing the best of ..."
42,Canadian,"Able Muse - a review of poetry, prose and art",Alexander Pepple,"This is the seminannual Able Muse Review (Print Edition) - Summer, 2011 issue. This issue continues the tradition of masterfully crafted poetry, fiction, ..."
43,Canadian,A Blessed Snarl,Samuel Martin,"Patrick Wiseman moved his wife and son back to Newfoundland to start a new Pentecostal church, but when his wife Anne leaves him for a man she meets on ..."
44,Canadian,A Blue Spruce Christmas,Brian Fawcett,"Set in 1957, A Blue Spruce Christmas reminds us what it was like to grow up in small town Canada during the Cold War. Set against the backdrop of the ..."
45,Canadian,Ablutions,Patrick deWitt,"From the author of the award-winning The Sisters Brothers comes a dark, boozy, and hilarious tale from the LA underworld.A nameless barman tends a decaying bar ..."
46,Canadian,A Book of Great Worth,Dave Margoshes,"Set largely among the Jewish community of inter-war New York City, this is a beautifully-told collection of scenes from Morgenstern's life. The tricky ground ..."
47,Canadian,A Borrowing of Bones,Paula Munier,"The first in a gripping new series by Paula Munier,A Borrowing of Bones is full of complex twists, introducing a wonderful new voice for mystery readers and ..."
48,Canadian,A Bounty of Evil,Markus Matthews,"Air elemental Zack Stevens is on a roll. His bounty-hunting business is thriving, he's survived a battle with a master vampire, and he's taken on four new ..."
49,Canadian,A Bounty with Strings,Markus Matthews,"It's been six years since the Hamilton Hurricane patrolled the skies above Hamilton, Ontario. The thirty-three-year-old once used his elemental powers of Air ..."
50,Canadian,About Love,Anton Chekhov,"Written in France toward the end of his career, these stories are Chekhov's only attempt at the linked collection. The first is a grotesque Gogolian comedy; ..."
51,Canadian,Above All Things,Tanis Rideout,"The Paris Wife meets Into Thin Air in this breathtaking debut novel of obsession and divided loyalties, which brilliantly weaves together the harrowing story ..."
52,Canadian,Above the Reich,David Chaundy-Smart,"In the 1930s, a promising young alpinist from Munich struggles to stay above the fray and the base instincts of the valley that threaten to destroy all that he ..."
53,Canadian,A Boy of Good Breeding,Miriam Toews,From the acclaimed Giller Prize Finalist and Governor General's Award Winner: a delightfully funny and charming second novel about Canada's smallest town. ...
54,Canadian,A Breath of Snow and Ashes,Diana Gabaldon,"Eagerly anticipated by her legions of fans, this sixth novel in Diana Gabaldon's bestselling Outlander saga is a masterpiece of historical fiction from one ..."
55,Canadian,A Brewski for the Old Man,Phyllis Smallman,"In the third Sherri Travis mystery, Phyllis Smallman returns to Jacaranda, Florida and the Sunset Bar. Ray John Leenders, the brutal man who tried to rape ..."
56,Canadian,A Bride by Christmas,Jo Beverley,"Home for Christmas by Heather GrahamIt broke Travis's heart to see Isabelle go, but he was the Yankee captain who had commandeered her home and she was a ..."
57,Canadian,A Bridge of Years,Robert Charles Wilson,Tom Winter thought the secluded cottage in the Pacific Northwest would be the perfect refugeóa place to nurse the wounds of lost love and happiness. But Tom ...
58,Canadian,A Brightness Long Ago,Guy Gavriel Kay,From the internationally bestselling author of Tigana and The Lions of Al-Rassan comes a masterful new novel set in a vivid world evoking early Renaissance ...
59,Canadian,Absolution,Patrick Flanery,"Told in shifting perspectives, Absolution revolves around the mysterious Clare Wald, a controversial writer and critic of great fame, now a recluse behind the ..."
60,Canadian,"Abundance of the Infinite, The",Christopher Canniff,"Tormented by his wife's decision to abort their child, a psychologist travels to a small coastal fishing town in South America to distance himself from the ..."
61,Canadian,A Cadence Creek Christmas,Donna Alward,It's Christmas in Donna Alward's Cadence Creek? ;Taylor Shepard has come to Cadence Creek to organize her brother's Christmas wedding. Organizing such a special ...
62,Canadian,A Case of You,Rick Blechta,"""She had a voice like an angel, smooth and complex as a twenty-year-old single malt, rich as thick cream. Everyone who heard Olivia sing felt as if she could ..."
63,Canadian,A Cast of Falcons,Steve Burrows,"The threat from above casts a dark shadow.A man falls to his death from a cliff face in western Scotland. From a distance, another man watches. He approaches ..."
64,Canadian,Accidental Commando,Ingrid Weaver,"A Caribbean island""¶a honeymoon suite""¶sexy lingerie. Emily Wright has everything for the perfect honeymoonóexcept a husband! Although her nuptials are ..."
65,Canadian,Accidental Eyewitness,Michelle Karl,"In a killer's sights""¶a lawman at her sideA Mountie Brotherhood storyAfter Ellen Biers witnesses a theft turned homicide, the killer targets her. But her ..."
66,Canadian,Accordeon,Kaie Kellough,"Finalist for the 2017 Amazon.ca First Novel AwardAccordeon is an experimental novel, a piercing deconstruction of Quebecois culture, an ode to Montrealóa ..."
67,Canadian,Accounting for Crime,Richard King,"Robert Scroyle C.A., is the senior partner at Scroyle, Caitiff, Rudisbe and Spavin. He is married, has a girlfriend or two and is no stranger to a shady tax ..."
68,Canadian,Accusation,Catherine Bush,"Selected as an Amazon.ca Best Book of 2013, a Canada Reads Top 40 Pick, and a NOW Magazine Book of the YearWhile in Copenhagen, Sara Wheeler, a Toronto ..."
69,Canadian,A Chance for the Rancher,Brenda Harlen,"Would you take a risk on a cowboy's kiss?Dating a single mom? Patrick Stafford would never break that rule""¶Patrick Stafford trades his suit for a Stetson ..."
70,Canadian,A Changed Heart,May Agnes Fleming,"Romance, suspense, and murder provide the backdrop for this Gothic novel set in mid-Victorian Saint John, New Brunswick, by 19th-century writer May Agnes ..."
71,Canadian,A Child Changes Everything,Stella MacLean,"What do you do when you find out your whole life has been a lie? First the birth mother you believed was dead is, in fact, alive. Then you discover you have a ..."
72,Canadian,A Choir of Crows,Candace Robb,"When two bodies are discovered in the grounds of York Minster shortly before the enthronement of the new archbishop, Owen Archer is summoned to investigate. ..."
73,Canadian,A Christmas Seduction,Daire St. Denis,Her first real Christmas  ;Her first real cowboy? ;Journalist Jolie Duval has escaped her killjoy family in order to enjoy a real down-home Christmas in Montana. ...
74,Canadian,A Chronicle of Magpies,Bruce Meyer,"This collection examines the serendipity and spontaneity of history through stories about love, family, and art. Bruce Meyers offers a view that is both ..."
75,Canadian,A Circle on the Surface,Carol Bruneau,"It's 1943. Enman and Una Greene are newly married. Each is haunted by their respective pasts, and each harbours secrets. They have hopes of a happy life ..."
76,Canadian,A City Girl,Margaret Harkness,"In April 1888, Friedrich Engels wrote a letter to the English novelist and journalist Margaret Harkness, expressing his appreciation for her first novel, A ..."
77,Canadian,A Colder Kind of Death,Gail Bowen,"When a prisoner is shot to death in the exercise yard of a Saskatchewan penitentiary, Joanne Kilbourn finds herself haunted by a part of her past she wished ..."
78,Canadian,A Cold Night for Alligators,Nick Crowe,"A thrilling Knopf New Face of Fiction debut, A Cold Night for Alligators takes the reader on a breathtaking ride through the seedy, sensual Florida Everglades, ..."
79,Canadian,A Cold Season In Shanghai,S.P. Hozy,"A time of turmoil, when destinies were forged""¶ In this searing historical novel by Toronto author S.P. Hozy, set amid the turmoil of early twentieth century ..."
80,Canadian,A Cold White Fear,R.J. Harlick,"Stranded by a blizzard at her isolated cabin, Meg Harris, an escapee from a failed marriage into the remote wilderness, finds herself in a desperate and ..."
81,Canadian,A Complicated Kindness,Miriam Toews,"Sixteen-year-old Nomi Nickel longs to hang out with Lou Reed and Marianne Faithfull in New York City's East Village. Instead she's trapped in East Village, ..."
82,Canadian,A Confederation of Valor,Tanya Huff,"In Valor's Choice, Staff Sergeant Torin Kerr and her crew get yanked from a well-deserved shore leave in order to participate in an ""easy""ù mission. They ..."
83,Canadian,A Conflict of Interest,Barbara Dunlop,"She tried to stay away from him?.More than once, White House PR specialist Cara Cranshaw has considered that reporter Max Gray might want her only because he ..."
84,Canadian,A Covenant of Salt,Martine Desjardins,"Since the death of her parents in 1791, Lily McEvoy has lived as a recluse in her isolated Armagh County manor with her two maidservants and Titus, the ..."
85,Canadian,A Cowboy Comes Home,Barbara Dunlop,"After years of being the black sheep, an unexpected inheritance has finally drawn Caleb Terrell home. But that doesn't mean the cowboy-turned-CEO plans to ..."
86,Canadian,A Cowboy for the Twins,Carolyne Aarsen,Cowboy DaddyShauntelle Dexter's twin girls think they've found their perfect new dad in cowboy Noah Cosgrove. But how could she ever be interested in the ...
87,Canadian,A Cowboy in Manhattan,Barbara Dunlop,"He is Colorado to the core. And after an unexpected family reunion, Reed Terrell is also an overnight millionaire. But the cattle rancher's biggest surprise is ..."
88,Canadian,A Cowboy in Paradise,Shana Gray,Her island nights are heating up! ;Losing her luggage was Jimi Calloway's first clue that her friend's Hawaiian destination wedding would be a nightmare. The ...
89,Canadian,A Cowboy's Plan,Mary Sullivan,C. J. Wright has a simple strategy for his life. Get his ranch going. Sell the family's candy shop. And fix his relationship with his young son.Nowhere in his ...
90,Canadian,A Cowboy's Temptation,Barbara Dunlop,"In this Colorado Cattle Barons novel by USA TODAY bestselling author Barbara Dunlop, a cowboy seduces the enemy ;Mayor Seth Jacobs has plans, and he won't let ..."
91,Canadian,A Cowboy To Come Home To,Donna Alward,Friendship?Melissa Stone has done a fine job of avoiding her former best friend Cooper Ford. She was devastated when she discovered her husband was cheating on ...
92,Canadian,Acqua Sacra,Keith Henderson,"Everything seems broken in Suzanna Ricci's life. Only 42, her marriage to Len has disintegrated. Her relationship to their teenage boys, Robin and Logan, is ..."
93,Canadian,A Crack in the Pavement,Georgie Binks,Have you ever wondered what that bag lady on the street is harbouring in her bag? Do you ever wonder how she got there? Sheila Traventi is a happily married ...
94,Canadian,A Credit to Your Race,Truman Green,"A longtime resident of Surrey, Truman Green wrote 'A Credit to Your Race' (1973), in which a fifteen-year-old black porter's son falls in love with, and ..."
95,Canadian,A Crossing of Hearts,Michel Tremblay,"A Crossing of Hearts continues Michel Tremblay's Desrosiers Diaspora series of novels, a family saga set in Montreal during World War I. August 1915. ..."
96,Canadian,Across the Hall,NM Facile,"Sylvia O'Mara has spent the last four years trying to get over her high school sweetheart, who, after breaking off their relationship, left town without any ..."
97,Canadian,Act Normal,Greg Hollingshead,A new collection of short fiction from the Governor General's Literary Award-winning author and Scotiabank Giller Prize finalist Greg Hollingshead.Act Normal ...
99,Canadian,A Curious Dream,Kate Pullinger,"Both startling and funny, Kate Pullinger creates stories that probe our relationships, with our friends, with our lovers, and with our family. Richard, who ..."
100,Canadian,A Daddy for Christmas,Linda Ford,"Cowboy to the Rescue ;Summoned by two little girls to help their mother in distress, Blue Lyons rushes to rescue widow Clara Weston. When the cowboy discovers ..."
101,Canadian,Adam Buenosayres,Leopoldo Marechal,"A modernist urban novel in the tradition of James Joyce, Adam Buenosayres is a tour-de-force that does for Buenos Aires what Carlos Fuentes did for Mexico City ..."
102,Canadian,Adam's Peak,Heather Burt,"Runner-up for the 2008 Ethel Wilson Fiction Prize On a stifling August day, six-year-old Clare Fraser and seven-year-old Rudy Vantwest make eye contact from ..."
103,Canadian,Adam's Tree,Gloria Mehlmann,Adam's Tree is a fictional account of life on the Cowesses First Nation in Saskatchewan during the 1940's and 50's.This period in history finds forces like ...
104,Canadian,A Dangerous Crossing,Ausma Zehanat Khan,"From Ausma Zehanat Khan,critically acclaimed author ofThe Unquiet Dead, comes the devastatingly powerful new thrillerA Dangerous Crossing.For Inspector Esa ..."
105,Canadian,A Dangerously Sexy Affair,Stefanie London,"Don't miss the second book in The Dangerous Bachelors Club from USA TODAY bestselling author Stefanie London!Ready, player one? ;Quinn Dellinger is supposed to ..."
106,Canadian,A Dangerously Sexy Christmas,Stefanie London,"Assignment: A Hot Holiday Affair! ;Aspiring jewelry designer Rose Lawson doesn't want a bodyguard. Especially the hot, muscle-y one her father hires after a ..."
107,Canadian,A Dangerously Sexy Secret,Stefanie London,"Siren?or Sinner? ;With her long blond hair and flowy skirts, Rhys Glover's new neighbor is the sexiest woman he's ever seen. He quickly learns she's also ..."
108,Canadian,A Dark Adapted Eye,Barbara Vine,"A Dark-Adapted Eye - a prize-winning crime classic by bestselling author Barbara Vine Winner of the Crime Writers' Association Gold Dagger Award 'A rich, ..."
109,Canadian,A Dark and Promised Land,Nathaniel Poole,A story of adventure and romance set in the wilds of Rupert's Land in the early 19th century. When Orkneywoman Rose is shipwrecked on the shores of ...
110,Canadian,A Dark House,Ian Colford,"In Ian Colford's latest collection, people get themselves and those they love into situations awkward and sometimes dangerous, doing what they think is best ..."
111,Canadian,A Dark Lure,Loreth Anne White,"Twelve years ago, Sarah Baker was abducted by the Watt Lake Killer and sexually assaulted for months before managing to escape. The killer was caught, but ..."
112,Canadian,A Darkness Absolute,Kelley Armstrong,People disappear to Rockton so no-one can find them. But the trouble is people also disappear from Rockton. New York Times and Globe and Mail bestselling ...
113,Canadian,A Darkness of the Heart,Gail Bowen,"The 18th installment of the bestselling Joanne Kilbourn series from the ""queen of Canadian crime fiction"" (Winnipeg Free Press).When, at the age of sixty, ..."
114,Canadian,A Daughter of No Nation,A.M. Dellamonica,"As soon as Sophie Hansa returned to our world, she is anxious to once again go back to Stormwrack. Unable to discuss the wondrous sights she has seen, and ..."
115,Canadian,Addicted,Charlotte Featherstone,"Friends since childhood, Anais Darnby and Lindsay Markham have long harbored a secret passion for one another. When they finally confess their love, their ..."
116,Canadian,A Deadly Divide,Ausma Zehanat Khan,"From the critically acclaimed author Ausma Zehanat Khan,A Deadly Divide is the devastatingly powerful new thriller featuring beloved series detectives Esa ..."
117,Canadian,A Deadly Venture,Chris Laing,"Max Dexter and his easy-on-the-eyes assistant Isabel O?rien are back in the second book of this post-WWII historical mystery series set in Hamilton, Ontario. ..."
118,Canadian,A Deal at the Altar,Donna Alward,This convenient arrangement could be so much more! ;HIRED BY THE COWBOY ;Alexis Grayson can look after herself?even if she's alone and pregnant. But gorgeous ...
119,Canadian,A Deal for the Di Sione Ring,Jennifer Hayward,"""Marry me, sell me the ring and I will fly you out of here tonight.""ùHotel magnate Nate Brunswick's faith in marriage was destroyed by his father. But in ..."
120,Canadian,A Debt Paid in Passion,Dani Collins,"A beautiful thief??  ;Raoul Zesiger has everything a man could want?including Sirena Abbott, the perfect PA who keeps his life in order. Or so it seems, until ..."
121,Canadian,A Debt Paid in the Marriage Bed,Jennifer Hayward,The unwilling Ricci wife? ;Angelina's world is shattered when Lorenzo Ricci walks through the door of her engagement party and demands she call off the ...
122,Canadian,A Deceptive Devotion,Iona Whishaw,"Wedding bells, a grisly murder, and a defecting Russian spy bring drama to King's Cove in the newest Lane Winslow mystery, a series that the Globe and Mail ..."
123,Canadian,A Dedicated Man,Peter Robinson,"""If you haven't encountered Chief Inspector Alan Banks before, prepare for a crash course in taut, clean writing and subtle psychology. And watch for those ..."
124,Canadian,A Delhi Obsession,MG Vassanji,"Two-time Giller Prize winner M.G. Vassanji returns with a powerful new novel about grief and second chances, tradition and rebellion, set in vibrant ..."
125,Canadian,A Deliberate Father,Kate Kelly,Falling for a woman with kids was never part of Jordan Tanner's plans. His intention was to quickly sell the building he's inherited and pave the way to ...
126,Canadian,A Delicate Matter,Don Easton,"In the tenth Jack Taggart Mystery, Taggart goes head to head with a longtime enemy who's been eluding him for years ""¶Jack Taggart is once again going head ..."
127,Canadian,Adeline Mowbray,Amelia Opie,"When Adeline Mowbray puts her mother Editha's radical theories into practice by eloping with, but not marrying, a notorious writer, the mother and daughter ..."
128,Canadian,A Desolate Splendor,John Jantunen,A chilling portrait of a family ;fighting to preserve their humanity in a cruel and merciless worldThe collapse of civilization has left the survivors scattered ...
129,Canadian,A Desperate Fortune,Susanna Kearsley,"From the bestselling author of The Firebird, comes an exquisitely crafted novel of modern-day and historical intrigue.For nearly 300 years, the mysterious ..."
130,Canadian,A Detached Pirate,Helen Milecete,"When Gay Vandeleur is divorced by her military husband in late Victorian London, she heads out to Halifax, Nova Scotia, to build a new life of romance and ..."
131,Canadian,A Diary in the Age of Water,Nina Munteanu,"Centuries from now, in a post-climate change dying boreal forest of what used to be northern Canada, Kyo, a young acolyte called to service in the Exodus, ..."
132,Canadian,Adjacentland,Rabindranath Maharaj,"Today is a new day but yesterday was the same day. In this disquieting new work from award-winning novelist Rabindranath Maharaj, a man awakens in a strange ..."
133,Canadian,A Doctor's Vow & Perfectly Matched,Lois Richer,"Two Healing Hearts novels by bestselling author Lois RicherA Doctor's VowTo fulfill a promise, Dr. Jaclyn LaForge opens a children's clinic in Hope, New ..."
134,Canadian,A Door in the River,Inger Ash Wolfe,"When Henry Weist, Port Dundas, Ontario's likeable hardware store owner is found dead in the parking lot of a cigarette shop on a local First Nation reserve, ..."
135,Canadian,A Dream Like Mine,M. T. Kelly,"Considering whether it is moral to use radical and violent solutions to stop the destruction of the environment, this dark novel portrays a succession of ..."
136,Canadian,Adrift,Loren Edizel,"John arrives in a Montreal airport with a suitcase in hand. We do not know where he is from, or who he is. He takes up work as a night-shift nurse and writes ..."
137,Canadian,A Dublin Student Doctor,Patrick Taylor,Devoted readers of Patrick Taylor's Irish Country novels know Doctor Fingal Flahertie O'Reilly as a pugnacious general practitioner in the quaint Irish village ...
138,Canadian,Adult Onset,Ann-Marie MacDonald,"From the acclaimed, bestselling author of 2 beloved classics, Adult Onset is a powerful drama about motherhood, the dark undercurrents that break and hold ..."
139,Canadian,"Adventure of Micah Mushmelon, Boy Talmudist, The",Michael Wex,"Heir to the Hipster line of rabbinical leaders and sages, eleven year old Micah Mushmelon enlists Shraga Potasznik, the comic-book-addicted protagonist of this ..."
140,Canadian,Advertising Murder,Robert Scott,Jack Elton was having a rough time dealing with his unfair banishment from the Vancouver Police Force and trying to settle into the lonely life of a P.I. until ...
141,Canadian,Advice For Italian Boys,Anne Giardini,"Nicolo's older and younger brothers seem to have their lives in focus. Nicolo works hard, saves his money, respects his parents and his nonna, but he is ..."
142,Canadian,Advice for Taxidermists and Amateur Beekeepers,Erin Vance,The sudden death of Margot Morris and her two young daughters in a house fire sends shock-waves through a small rural community. The Morris' are a close-knit ...
143,Canadian,Advocate,Darren Greer,"When Jacob is called back to Advocate, he is not only returning home again, something he knows he cannot really do; he is going to face his dying grandmother ..."
144,Canadian,Aegean Tales,Pan Bouyoucas,"Leading Canadian translator, Sheila Fischman, brings these two awarding-winning novels, The Other and Anna Why, to an English-language audience for the first ..."
145,Canadian,A Family Affair,Nadine Bismuth,"A wry, savvy novel of untidy modern relationships, A Family Affair confirms award-winning author Nadine Bismuth's place as a remarkable chronicler of ..."
146,Canadian,A Family for Luke,Carolyne Aarsen,"Luke Harris grew up without family. Now, it's all he wants. More so when he and his friendly dog move next door to widowed mom Janie Corbett and her three ..."
147,Canadian,A Family for the Rugged Rancher,Donna Alward,Gruff rancher Luke Evans's new live-in housekeeper comes with an unexpected addition?a small son! Emily may be pretty?and even Luke has to grudgingly admit ...
148,Canadian,A Family for the Soldier,Carolyne Aarsen,"A Cowboy's Homecoming ;Since his return to Little Horn, Texas, former special ops soldier Grady Stillwater has felt lost. Stillwater Ranch needs his ..."
149,Canadian,A Family-Style Christmas,Carolyne Aarsen,"The swaggering stranger embodied every warning nurse Caitlin Severn had ever heard, all wrapped up in one handsome, dangerous package. Yet, from the moment she ..."
150,Canadian,A Family-Style Christmas & A Mother at Heart,Carolyne Aarsen,"A perfect Christmas gift! Two Stealing Home novels in one by author Carolyne AarsenA Family-Style ChristmasAfter witnessing Simon Steele's motorcycle crash, ..."
151,Canadian,A Family-Style Christmas and Yuletide Homecoming,Carolyne Aarsen,Two heartwarming holiday novels by Carolyne AarsenA Family-Style ChristmasA childhood in foster care cost businessman Simon Steele his faith. But when he's ...
152,Canadian,A Fatal Inversion,Barbara Vine,A Fatal Inversion - a classic thriller from the queen of crime Barbara Vine 'An absolute winner ... a gripping read from start to end' Daily Mail 'Brilliant. ...
153,Canadian,A Father for Danny,Janice Carter,Samantha Sorrenti's business is finding things. But her newest?and youngest?client just hired her to find something a lot more complicated: the father he's ...
154,Canadian,A Father for Her Child,Laurel Greer,"She was always his best friend's girl""¶But then their whole lives changedWidow Cadence Grigg is slowly putting her life back togetheróand raising her ..."
155,Canadian,A Father in the Making,Carolyne Aarsen,"Family At Last ; ;Nate Lyster and Mia Verbeek are in perfect agreement?letting someone new into your life is much too risky. Mom to four kids, Mia can't let just ..."
156,Canadian,A Father's Kingdom,Sheila Watson,"This small collection of stories that were published between 1938 and 1980 includes a remarkable narrative range, from the closely observed realism of ""Rough ..."
157,Canadian,A Father's Promise,Carolyne Aarsen,A Chance For Redemption ; ;Widowed attorney Zach Truscott is ready for a fresh start. So he and his beloved daughter head west to the quaint town of Hartley ...
158,Canadian,A Few Kinds of Wrong,Tina Chaulk,"Mechanic Jennifer Collins is a woman in a man's world, but since her father's sudden death her world has been falling apart. Now she's in a losing battle, ..."
159,Canadian,Affect,Charlene Elsby,"Affect is the surreal love story of a graduate student who, hyperaware of the absurdity of love in a universe where all is finite and death is inevitable, ..."
160,Canadian,A Firefighter's Promise,Patricia Johns,When the baby he rescued seven years  ;ago returns?with his widowed adoptive  ;mom?Deputy Fire Chief Matt Bailey can't  ;turn them away. Desperate to escape the ...
