title_url,title,authors,image,description
https://49thshelf.com/Books/S/Serial-Villain,Serial Villain,Sherwin Tjia,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serial-villain/9781894994675_cover/391474103-1-eng-CA/9781894994675_cover_coverbookpage_embed.jpg,"A hypnotist uses his powers for evil instead of good. A time-traveller goes back in time to kill Hitler as a baby. In this parodic, faux-noir collection, the award-winning and multi-talented Sherwin Tjia concocts B-movie narratives filled with serial killers, mafia soldiers, bodyguards, cops and kidnappers encountering betrayal, femme fatales, and more plot twists than a Moebius strip. The first in the Cinderblock Books Series, Serial Villain emulates the garish and lurid look of noir posters from the 50s while referencing the Moby Books Illustrated Classics for kids in which every right hand page had an illustration and a pullquote from the story underneath it. Hurtling along in quick cuts and abbreviated action, these 5-minute blockbuster movies up the ante with each diabolical development, practically with every paragraph. Immerse yourself in this perpetual dusk, where sex and violence party beyond redemption, where pathetically insignificant individuals take their revenge upon the world entire. "
https://49thshelf.com/Books/S/Serpentine,Serpentine,Peter Parkin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serpentine/9780993675386_cover/293072921-1-eng-CA/9780993675386_cover_coverbookpage_embed.jpg,"Nathan Morrell is one of the foremost designers of thrill rides, and for him the occupation is much more than just a career; it's an undeniable passion. Today is a proud day indeed. The inaugural circuit of Nathan's latest creation, the world's newest and most thrilling roller-coaster, is an event that has been long-awaited. The anticipation of the very first ride of the Black Mamba has created a buzz in the state of Virginia - for politicians, the public, the favoured first riders, and for Nathan's company, Flying machines Inc. But this event is also being watched with interest by others-people lurking in the shadows who see the Black mamba as a means to an end. There is a spine-tingling truth at stake that involves much more than just a mere ride at an amusement park. A truth that is intended to remain secret. "
https://49thshelf.com/Books/S/Serpents-Rising,Serpents Rising,David A. Poulsen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serpents-rising/9781459721722_cover/425260175-1-eng-CA/9781459721722_cover_coverbookpage_embed.jpg,"A private investigator and a journalist take on a ruthless gang in Calgary to rescue a runaway and find justice for themselves. 
In 2005, journalist Adam Cullen’s wife, Donna, is killed by an arsonist. In desperation after police, fire department, and insurance investigators all give up trying to find the culprit, Cullen hires private detective Mike Cobb, but he, too, is stymied. Seven years later, Cobb re-enters Cullen’s life. A search for a crack-addicted teenage runaway is tangled up with Calgary’s most ruthless criminal organization — and a possible lead on Donna’s killer.
The parallel investigations take the two onto Calgary’s meanest streets, populated by a vicious biker gang, a silky-smooth pedophile, and an assortment of people who aren’t at all what they seem.As they weave their way through long-buried secrets, Cullen and Cobb will come face-to-face with a cruelty they could never have expected … and a killer about to strike again.  "
https://49thshelf.com/Books/S/Serpents-Tale,Serpents Tale,Ariana Franklin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serpents-tale/9780143052852_cover/410270785-1-eng-CA/9780143052852_cover_coverbookpage_embed.jpg,"Rosamund Clifford, the mistress of King Henry II, has been murdered—and the king's estranged queen is the prime suspect. Henry suspects that Rosamund's murder is probably the first move in Eleanor's long-simmering plot to overthrow him. If Eleanor is guilty, the result could be civil war. The king must once again summon Adelia Aguilar, mistress of the art of death, to uncover the truth. "
https://49thshelf.com/Books/S/Serpents-Tale2,Serpents Tale,Ariana Franklin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serpents-tale2/9780143052845_cover/142305034-1-eng-CA/9780143052845_cover_coverbookpage_embed.jpg,"King Henry II's mistress, Rosamund, has been poisoned, and Adelia Aguilar, the intriguing forensics expert first introduced in Mistress of the Art of Death, once again is charged by King Henry to find the murderer. But there is more at stake than the identity of a killer: Civil war threatens to ravage an already war-sick England as Henry's Queen Eleanor rallies troops to depose him. Adelia, now the mother of an infant daughter, is reunited with her lover, Rowley Picot, Henry's loyal bishop. As more savage killings ensue, Adelia works feverishly to save innocents and protect the peace. "
https://49thshelf.com/Books/S/Set-Point,Set-Point,Fawn Parker,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/set-point/9781927886250_cover/401749309-1-eng-CA/9781927886250_cover_coverbookpage_embed.jpg,"Set-Point is a novel about personal, sexual, and physical identity. A voice that is at once brutally honest and humorous follows Luck Frank, a mid-20s aspiring screenwriter living in Montreal who begins work as a digital sex worker, selling data recorded on interactive erotic consoles. She keeps her work separate from her artistic and personal life until a user threatens to release her identity. Lucy struggles with body image, her mother's illness, and her feelings about her new line of work, while trying to sell a series of scripts parodying Karl Ove Knausgaard's My Struggle series. Segments of the novel take place inside of U:3D, a massive multiplayer online world-building game in which Lucy's project is produced. Unfolding in Montreal youth culture, this debut explores intellectual parody, mental and physical illness, and the relationship between technology and sex. "
https://49thshelf.com/Books/S/Settlement,Settlement,Ann Birch,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/settlement/9781926607047_author/425306542-1-eng-CA/9781926607047_author_coverbookpage_embed.jpg,"The untold story of scandal and political intrigue in early Toronto. Anna Jameson arrives in the tiny settlement of Toronto in November, 1836. She has come at the request of her estranged husband, but she intends to gather material for a new book, which will eventually be published in England years later. At first, Anna finds herself in an alien world. She has little in common with Toronto women whose interests centre on gossip and their families, but as she begins to move into adventures like sleigh-riding and helping to fight a major fire, she enters a new life. And she also meets man-about-town Sam Jarvis. But Jarvis has a loving wife, a pile of debts and a violent past. The story is told from both their points of view. She travels alone into the wilderness, becomes the first white woman to descend the Sault rapids in a canoe and discovers the joy of freedom. On Manitoulin Island, she and Sam Jarvis meet again. During a long canoe trip down Lake Huron, they wrestle with the conflicts in their relationship and arrive at a settlement. "
https://49thshelf.com/Books/S/Settlers-of-the-Marsh,Settlers of the Marsh,Frederick Philip Grove,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/settlers-of-the-marsh/9780771093395_cover/335391163-1-eng-CA/9780771093395_cover_coverbookpage_embed.jpg,"Settlers of the Marsh was first published in 1925, after a struggle by the author to persuade publishers that his first novel would meet public acceptance. Some critics immediately condemned this hypnotic story of the loss of innocence on the Manitoba frontier, calling it “obscene” and “indecent.” Churches issued warnings to their congregations to avoid its scandalous contents. Only several decades later was Settlers of the Marsh recognized for what it is – a landmark in the development of the Canadian novel, and a work of realism in the tradition of Thomas Hardy.A psychological portrait of life in the Canadian West, Settlers of the Marsh presents with chilling accuracy the hopes, passions, and anxieties of young pioneers. "
https://49thshelf.com/Books/S/Settlers-of-the-Marsh3,Settlers of the Marsh,Frederick Philip Grove,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/settlers-of-the-marsh3/9780735236028_cover/391707634-1-eng-CA/9780735236028_cover_coverbookpage_embed.jpg,"Settlers of the Marsh was first published in 1925, after a struggle by the author to persuade publishers that his first novel would meet public acceptance. Some critics immediately condemned this hypnotic story of the loss of innocence on the Manitoba frontier, calling it “obscene” and “indecent.” Churches issued warnings to their congregations to avoid its scandalous contents. Only several decades later was Settlers of the Marsh recognized for what it is – a landmark in the development of the Canadian novel, and a work of realism in the tradition of Thomas Hardy.A psychological portrait of life in the Canadian West, Settlers of the Marsh presents with chilling accuracy the hopes, passions, and anxieties of young pioneers. "
https://49thshelf.com/Books/S/Seven2,Seven,Farzana Doctor,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seven2/9781459746398_author/424867085-1-eng-CA/9781459746398_author_coverbookpage_embed.jpg,"A rich, soulfully written novel about inheritance and resistance that tests the balance between modern and traditional customs.When Sharifa accompanies her husband on a marriage-saving trip to India, she thinks that she's going to research her great-great-grandfather, a wealthy business leader and philanthropist. What captures her imagination is not his rags-to-riches story, but the mystery of his four wives, missing from the family lore. She ends up excavating much more than she had imagined.Sharifa's trip coincides with a time of unrest within her insular and conservative religious community, and there is no escaping its politics. A group of feminists is speaking out against khatna, an age-old ritual they insist is female genital cutting. Sharifa’s two favourite cousins are on opposite sides of the debate and she seeks a middle ground. As the issue heats up, Sharifa discovers an unexpected truth and is forced to take a position. "
