id,origin,book,details,character_count,word_count
999,Canadian,Camp X: Trouble in Paradise by Eric Walters,Camp X: Trouble in Paradise by Eric Walters: George and his family have been relocated to Bermuda in the hope that the Nazi agents who've been trying to kill them lose the scent and think them dead. But ...,,
1000,Canadian,Canada Made Me by Norman Levine,"Canada Made Me by Norman Levine: Norman Levine's Canada Made Me, a bitter, critical reassessment of the moral and cultural values of 'the polite nation,' proved so shocking it took 21 years - ...",,
1001,Canadian,Canadian Mountain Mazes by Dustin Lynx,"Canadian Mountain Mazes by Dustin Lynx: 40 prominent Canadian peaks, from north to south, east to west, all turned into mazes. Start at the obelisk and find the path to the top and touch the flag. ...",,
1002,Canadian,Canadian Shield by Kelley Aitken,"Canadian Shield by Kelley Aitken: Winner: 2017 IPPY Award, Bronze Medalist, Canada-East Best Regional Fiction Kelley Aitken's compelling short fiction collection is united by a sense of ...",,
1003,Canadian,Canadian Wonder Tales by Cyrus Macmillan,"Canadian Wonder Tales by Cyrus Macmillan: CANCELLEDFirst published in 1918, Canadian Wonder Tales is a collection of Canadian folk fables compiled from oral history; these universal stories are about ...",,
1004,Canadian,Canary by Nancy Jo Cullen,"Canary by Nancy Jo Cullen: An AMAZON.CA Top 100 Book of 2013 ""Gas, grass, or ass: No one rides for free"". So begins this cheeky and chirpy short story debut by Nancy Jo Cullen. ...",,
1005,Canadian,Candide by Voltaire,Candide by Voltaire: The philosophical problem of evilthat a supposedly good God could allow terrible human sufferingtroubled the minds of eighteenth-century thinkers as it ...,,
1006,Canadian,Candies by Basil H. Johnston,"Candies by Basil H. Johnston: Basil Johnston was one of the foremost Anishinaabe writers and storytellers, and his comedic stories about life in Residential School, Indian School Days, is a ...",,
1007,Canadian,Candyass by Nick Comilla,Candyass by Nick Comilla: Arthur is a young gay man in Montreal at a crossroads. He gets lost in a blizzard of boys and endless possibilitiesÃ¢??looking to fall in love and to ...,,
1008,Canadian,Candy Darlings by Christine Walde,"Candy Darlings by Christine Walde: Licorice, suckers, bubblegum, melt-aways, mints... The candy became an obsession between two outcastsone who only wanted to fit in, the other who knew she ...",,
1009,Canadian,Cantata by Clare Goulet,"Cantata by Clare Goulet: A cantata is a vocal composition with instrumental accompaniment, woven around a narrative. In Clare Goulet's hands it becomes a rich story, weaving music, ...",,
1010,Canadian,Can't Lit by Richard Rosenbaum,"Can't Lit by Richard Rosenbaum:  ;In 1995, Canadian novelist and critic Hal Niedviecki started publishing Broken Pencil, a magazine dedicated to the zine scene, the independent and alternative ...",,
1011,Canadian,Can You Hear the Nightbird Call? by Anita Rau Badami,"Can You Hear the Nightbird Call? by Anita Rau Badami: LONGLIST 2008 ;- IMPAC Dublin Literary AwardAnita Rau Badami's acclaimed novel ;Can You Hear the Nightbird Call? chronicles the stories of three women, linked in ...",,
1012,Canadian,"Capacity for Infinite Happiness, The by Alexis von Konigslow","Capacity for Infinite Happiness, The by Alexis von Konigslow: Mathematician Emily Kogan's family is good at keeping their secrets. But when she uses her visit to the vacation lodge they own to conduct research for a ...",,
1013,Canadian,Cape Breton is the Thought Control Center of Canada by Ray Smith,"Cape Breton is the Thought Control Center of Canada by Ray Smith: Sophisticated, playful, crafted, self-referential and extremely funny, Cape Breton is the Thought-Control Centre of Canada begins the career of one of Canada's ...",,
1014,Canadian,Cape Breton is the Thought-Control Centre of Canada by Ray Smith,"Cape Breton is the Thought-Control Centre of Canada by Ray Smith: First published in 1969, Ray Smith'sCape Breton is the Thought-Control Centre of Canada remains as refreshing, innovative and important today as it has in ...",,
1015,Canadian,"Cape Breton's Christmas, Book 5 by Ronald Caplan","Cape Breton's Christmas, Book 5 by Ronald Caplan: Now an annual holiday tradition, this fifth collection of Cape Breton's Christmas delivers a batch of memories and rich holiday stories rooted in a beloved ...",,
1016,Canadian,"Cape Breton's Christmas, Book 6 by Ronald Caplan","Cape Breton's Christmas, Book 6 by Ronald Caplan: A CHRISTMAS TRADITION IN BOOK FORM, Book 6 of Cape Breton's Christmas is a fresh annual gathering of warmth, joy, and family love50 well-told memories and ...",,
1017,Canadian,Caplin Scull by M.T. Dohaney,"Caplin Scull by M.T. Dohaney: ""Mesmerized by the dazzling colours that the sun was sending in through the stained glass windows, I could easily believe in heaven. The houses would be ...",,
1018,Canadian,Caprice by George Bowering,"Caprice by George Bowering: WITH A FOREWORD BY ARITHA VAN HERK. It's the mid 1890s in Kamloops, British Columbia. Two men argue over a bottle of whisky and, in the struggle Frank Spencer, ...",,
1019,Canadian,"Captain of Kinnoull Hill, The by Jamie Tennant","Captain of Kinnoull Hill, The by Jamie Tennant: Dennis Duckworth - widely considered the least-likeable person on the Chicago music scene - is a philanderer and a misanthrope with a history of inflicting ...",,
1020,Canadian,Captain Quad by Sean Costello,"Captain Quad by Sean Costello: Imagine you're a sudden quadriplegic, confined to bed and wheelchair, locked inside your head... Now imagine you're watching the person you've loved drift ...",,
1021,Canadian,Captivating Witness by Melinda Di Lorenzo,Captivating Witness by Melinda Di Lorenzo: Passion and peril collide as a detective and the witness he's protecting come under fireAll formerly footloose waitress Reggie Frost wants is to show her ...,,
1022,Canadian,Captive by Claudine Dumont,"Captive by Claudine Dumont: In the spirit of Emma Donoghue's international bestseller Room, Captive throws readers into the mind of a woman who wakes to find herself in a terrifying and ...",,
1023,Canadian,Captives by Barbara Galler-Smith,"Captives by Barbara Galler-Smith: The Druids Saga continues with Book Two: CAPTIVES.Set against the backdrop of Pre-Roman Gaul, and the Roman occupied city of ancient Rhodes, Celtic seer Mallec ...",,
1024,Canadian,Captured Countess by Ann Lethbridge,"Captured Countess by Ann Lethbridge: Never trust a spy! ;Nicoletta, the Countess Vilandry, is on a dangerous mission?to lure fellow spy Gabriel D'Arcy into bed and into revealing his true ...",,
1025,Canadian,Captured for the Captain's Pleasure by Ann Lethbridge,"Captured for the Captain's Pleasure by Ann Lethbridge: Captain Michael Hawkhurst relishes his fearsome reputation, for he lives only to wreak revenge on the Fulton family, who so cruelly destroyed his own.Spirited ...",,
1026,Canadian,Carafola by Christine Miscione,"Carafola by Christine Miscione: Wretched, masochistic, beautiful, Carofola is a novel about the perils of life decisions; a spellbinding coming-of-age story that is a wild ride through the ...",,
1027,Canadian,Carbide Tipped Pens by Ben Bova,"Carbide Tipped Pens by Ben Bova: Seventeen hard science fiction tales by today's top authorsHard science fiction is the literature of change, rigorously examining the impactboth beneficial ...",,
1028,Canadian,"Cardinal Divide, The by Stephen Legault","Cardinal Divide, The by Stephen Legault: Cole Blackwater's life isn't what it used to be. Once a political superstar within Ottawa's environmental movement, he now runs a nearly defunct conservation ...",,
1029,Canadian,Cardinal: Forty Words for Sorrow (TV Tie-in Edition) by Giles Blunt,"Cardinal: Forty Words for Sorrow (TV Tie-in Edition) by Giles Blunt: Now a major television series, CARDINAL.When four teenagers go missing in the small northern town of Algonquin Bay,the extensive police investigation comes up ...",,
1030,Canadian,Careless Love by Peter Robinson,"Careless Love by Peter Robinson: The thrilling twenty-fifth instalment in Peter Robinson's #1 bestselling Inspector Banks series, in which Banks and his team find themselves investigating two ...",,
1031,Canadian,Caribbean Escape with the Tycoon by Rosanna Battigelli,"Caribbean Escape with the Tycoon by Rosanna Battigelli: Swept away""¦""¦to paradise!This is a trip of a lifetime for social worker Chanelle Robinsona chance to relax and embrace the luxury of the cruise liner ...",,
1032,Canadian,Carnival by Rawi Hage,"Carnival by Rawi Hage: Winner of the Quebec Writers' Federation Hugh MacLennan Prize for Fiction and a finalist for the Rogers' Writers' Trust Fiction Prize, Rawi Hage's ...",,
1033,Canadian,Carnival Glass by Bonnie Dunlop,"Carnival Glass by Bonnie Dunlop: Carnival Glass, Bonnie Dunlop's new fiction collection, is an examination of the infirmity of human relationships  marriages, brotherhood, friendships, ...",,
1034,Canadian,Carousel by April Ford,"Carousel by April Ford: Margot Wright has led a deliberate life. At 18, she left her unusual and abusive family situation and never looked back, and then two years later she devoted ...",,
1035,Canadian,Carpe Fin by Michael Nicoll Yahgulanaas,"Carpe Fin by Michael Nicoll Yahgulanaas: ""The ragged edges of the temperate rainforest reach far out onto an island in the western seas. It is a place where one chooses to go ahead or turn ...",,
1036,Canadian,Carpenter by Matt Lennox,"Carpenter by Matt Lennox: This stunning debut novel is set in the 1980s in a small, God-fearing Ontario town, rife with poisonous secrets, grudges passed through the generations and an ...",,
1037,Canadian,"Carpenter from Montreal, The by George Fetherling","Carpenter from Montreal, The by George Fetherling: Worlds collide when a naÃ¯ve young heiress takes a tumble for a bootlegger with a murderous temper and his business partner falls in love with Montreal, the ...",,
1038,Canadian,Carrying the King's Pride by Jennifer Hayward,"Carrying the King's Pride by Jennifer Hayward: A marriage for the monarch ;One last New York night with Sofia Ramirez is all Prince Nikandros Constantinides allowed himself before returning to Akathinia, ...",,
1039,Canadian,Carry Me by Peter Behrens,"Carry Me by Peter Behrens: A 2017 Vine Awards for Canadian Jewish Literature FinalistA 2016 Jewish Book Award FinalistBilly Lange is born in 1909 on the Isle of Wight, England, where his ...",,
1040,Canadian,Case Against Owen Williams by Allan Donaldson,"Case Against Owen Williams by Allan Donaldson: Allan Donaldson's first novel, Maclean, was shortlisted for the Rogers Writers' Trust Fiction Prize. Donaldson's new novel is a literary mystery set in the ...",,
1041,Canadian,Cash Crash Jubilee by Eli K. P. William,"Cash Crash Jubilee by Eli K. P. William: In a near future Tokyo, every action?from blinking to sexual intercourse?is intellectual property owned by corporations that charge licensing fees. A BodyBank ...",,
1042,Canadian,Casino Jack by Norman Snider,"Casino Jack by Norman Snider: From movie buffs and film students to anyone who enjoys true-crime stories or is interested in U.S. politics, this companion to a critically acclaimed biopic ...",,
1043,Canadian,Cast in Chaos by Michelle Sagara,"Cast in Chaos by Michelle Sagara: Kaylin Neya is a Hawk, part of the elite force tasked with keeping the City of Elantra safe. Her past is dark, her magic uncontrolled and her allies ...",,
1044,Canadian,Cast in Courtlight by Michelle Sagara,"Cast in Courtlight by Michelle Sagara: No good deed goes unpunishedIn Elantra, a job well done is rewarded with a more dangerous task. And so, after defeating a dark evil, Kaylin must enter a place ...",,
1045,Canadian,Cast in Deception by Michelle Sagara,"Cast in Deception by Michelle Sagara: WITH FRIENDS LIKE THESE, WHO NEEDS ENEMIES?Private Kaylin Neya thought her home couldn't possibly get more crowded. But when one of her housemates, Annarion, ...",,
1046,Canadian,Cast in Fury by Michelle Sagara,"Cast in Fury by Michelle Sagara: To be or not to be""¦When a minority race of telepaths is suspected of causing a near-devastating tidal wave, Private Kaylin Neya is summoned to Courtand ...",,
1047,Canadian,Cast in Oblivion by Michelle Sagara,"Cast in Oblivion by Michelle Sagara: POLITICS ARE HELLKaylin wasn't sent to the West March to start a war. Her mission to bring back nine Barrani might do just that, though. She traveled with a ...",,
1048,Canadian,Cast in Peril by Michelle Sagara,"Cast in Peril by Michelle Sagara: It has been a busy few weeks for Private Kaylin Neya. In between angling for a promotion, sharing her room with the last living female Dragon and dealing with ...",,
1049,Canadian,Cast in Ruin by Michelle Sagara,"Cast in Ruin by Michelle Sagara: Seven corpses are discovered in the streets of a Dragon's fief. All identical, down to their clothing.Kaylin Neya is assigned to discover who they were, who ...",,
1050,Canadian,Cast in Secret by Michelle Sagara,"Cast in Secret by Michelle Sagara: Still avoiding magic whenever possible,Corporal Kaylin Neya relished investigatinga regular theft once again. Until she found outthe mysterious box was taken ...",,
1051,Canadian,Cast in Shadow by Michelle Sagara,"Cast in Shadow by Michelle Sagara: Something is stirring again""¦Seven years ago Kaylin fled the crime-riddled streets of Nightshade, knowing that something was after her. Children were being ...",,
1052,Canadian,Cast in Silence by Michelle Sagara,"Cast in Silence by Michelle Sagara: A member of the elite Hawk force that protects the City of Elantra, Kaylin Neya has sacrificed much to earn the respect of the winged Aerians and immortal ...",,
1053,Canadian,Cast in Wisdom by Michelle Sagara,Cast in Wisdom by Michelle Sagara: SOMETHING IS WAKINGThe fiefs that exist at the heart of the city of Elantra are home to sentient Towers that guard the world against the incursion of Shadow. ...,,
1054,Canadian,Castle of the Wolf by Margaret Moore,"Castle of the Wolf by Margaret Moore: PASSION FOR HER PROTECTOR ;Facing marriage to a man she loathes, virtuous Thomasina is forced to choose family duty over her own happiness?until a high-stakes ...",,
1055,Canadian,Castles in the Air by Mary Hagey,"Castles in the Air by Mary Hagey: Mary Hagey's debut collection of stories Castles In The Air introduces us to a cast of characters who are all trying to assert themselves in their own lives, ...",,
1056,Canadian,Castonbury Park: Ladies of Disrepute by Marguerite Kaye,Castonbury Park: Ladies of Disrepute by Marguerite Kaye: The Lady Who Broke the RulesAnticipating her wedding vows and then breaking off the engagement has left Kate Montague's social status in tatters. She hides her ...,,
1057,Canadian,Catalogue Raisonne by Mike Barnes,"Catalogue Raisonne by Mike Barnes: It is 1984. The latest recession is said to be over, and in the steel city of Hamilton, things are picking up. For Paul, however, an ex-rock guitarist and ...",,
1058,Canadian,Cataract City by Craig Davidson,"Cataract City by Craig Davidson: Owen and Duncan are childhood friends who've grown up in picturesque Niagara Fallsknown to them by the grittier name Cataract City. As the two know well, ...",,
1059,Canadian,Catching Desire by Carmelo Militano,"Catching Desire by Carmelo Militano: Carmelo Militano's new book Catching Desire is a personal account of the turbulent artistic life, and often erotically charged art of the maudit, ...",,
1060,Canadian,Catching Her Heart by Carolyne Aarsen,"Catching Her Heart by Carolyne Aarsen: Second Chance SeasonWhen they fell in love that summer, Jess Schroder never knew the secret Naomi Deacon carried away with her. The boy from a troubled home ...",,
1061,Canadian,Catching the Light by Susan Sinnott,"Catching the Light by Susan Sinnott: This was the line between here and there. No landwash, no vague intertidal zone, no undecided. She stood at the edge, a mass of instincts and yearnings and ...",,
1062,Canadian,Catch Me When I Fall by Patricia Westerhof,"Catch Me When I Fall by Patricia Westerhof: Welcome to Poplar Grove, a farming community with three generations of Dutch-Canadians. Life in the New World has not become less complicated as the decades ...",,
1063,Canadian,Catch My Drift by Genevieve Scott,"Catch My Drift by Genevieve Scott: An Atlantic Books Today Editor's PickLorna always wanted to stand out, but her career as a competitive swimmer was cut short by a knee injury. Cara, her ...",,
1064,Canadian,Catherine of Cannington Manor by Shirley Harris,"Catherine of Cannington Manor by Shirley Harris: After tragedy strikes her family in England, Catherine Hensen decides to explore a new life in Canada. While working as a governess for an Anglican reverend ...",,
1065,Canadian,Catherine Snow by Nellie P. Strowbridge,Catherine Snow by Nellie P. Strowbridge: An exotic drama in which one man's mysterious disappearance brings a dark end to three other people. What would it take to destroy an Irish girl who had ...,,
1066,Canadian,Cat's Eye by Margaret Atwood,"Cat's Eye by Margaret Atwood: Cat's Eye ;is the story of Elaine Risley, a controversial painter who returns to Toronto, the city of her youth, for a retrospective of her art. Engulfed by ...",,
1067,Canadian,Cattleman's Courtship by Carolyne Aarsen,Cattleman's Courtship by Carolyne Aarsen: Veterinarian Cara Morrison is planning another walk down the aisle with her ex-fianceexcept she isn't the bride and rancher Nicholas Chapman isn't the ...,,
1068,Canadian,Cattleman's Courtship & Cowboy Daddy by Carolyne Aarsen,Cattleman's Courtship & Cowboy Daddy by Carolyne Aarsen: Carolyne Aarsen brings us two ranchers' stories about healing wounds and starting over ;CATTLEMAN'S COURTSHIP ;Veterinarian Cara Morrison is planning another ...,,
1069,Canadian,Cauchemar by Alexandra Grigorescu,"Cauchemar by Alexandra Grigorescu: An eerie and romantic Southern gothic dramaGripping, fast-paced, gorgeously written, and with unforgettable characters, Cauchemar tells the story of ...",,
1070,Canadian,Caught by Lisa Moore,Caught by Lisa Moore: Shortlisted for the Rogers Writers' Trust Fiction Prize and the Scotiabank Giller Prize. Selected as an Amazon.ca Best Book and for The Globe 100 Books in ...,,
1071,Canadian,Cause and Affection by Sheryl Wright,Cause and Affection by Sheryl Wright: What happens when a chance encounter turns out to be anything but? Kara Wexler has only a few days to decide whether to accept the nomination of Chief ...,,
1072,Canadian,"Causes, The by Cathy Stonehouse","Causes, The by Cathy Stonehouse: Cathy Stonehouse was a teenager in the UK when Argentina invaded the Falkland Islands. Opening salvos in April 1982 would go on to become a 74-day war over who ...",,
1073,Canadian,Cease to Blush by Billie Livingston,Cease to Blush by Billie Livingston: Billie Livingston's fine second novel leads us to consider the nature of our hidden lives and desires  and to question whether the sky would really fall ...,,
1074,Canadian,Cecilian Vespers by Anne Emery,Cecilian Vespers by Anne Emery: Lawyer and bluesman Monty Collins is used to defending murderers?and occasionally investigating murders himself?but he's never come up against anything like ...,,
1075,Canadian,Celebrations by NaÃ¯m Kattan,"Celebrations by NaÃ¯m Kattan: A Syrian writer living in Montreal, Rene Shems is also a specialist of Canadian history. After participating in a celebration organized in his honor, Shems ...",,
1076,Canadian,Celia's Song by Lee Maracle,"Celia's Song by Lee Maracle: Mink is a witness, a shape shifter, compelled to follow the story that has ensnared Celia and her village, on the West coast of Vancouver Island in ...",,
1077,Canadian,Century by Ray Smith,"Century by Ray Smith: The fourth title in Biblioasis's Renditions Series,Century begins with the nightmare visions of a young woman named Jane Seymour, catching the reader up in a ...",,
1078,Canadian,Certain Dark Things by Silvia Moreno-Garcia,Certain Dark Things by Silvia Moreno-Garcia: Certain Dark Things combines elements of Latin American mythology with a literary voice that leads readers on an exhilarating and fast-paced journey.Welcome to ...,,
1079,Canadian,"Certain Grace, A by Binnie Brennan","Certain Grace, A by Binnie Brennan: In the tradition of short story writers Alice Munro and Carol Shields, Binnie Brennan examines the minutiae of ordinary life. During a tipsy night out escaping ...",,
1080,Canadian,Certainty by Madeleine Thien,"Certainty by Madeleine Thien: Madeleine Thien's stunning debut novel fulfills all her early promise and introduces a young novelist of vision, maturity, and style. Gail Lim, a producer of ...",,
1081,Canadian,"Chain Locker, The by Robert Chaulk","Chain Locker, The by Robert Chaulk: Robert Chaulk's story begins in 1931 when thirteen-year-old Jackie Gould is a stowaway on an old steamer bound for the sealing grounds of the North Atlantic. ...",,
1082,Canadian,Chainsaw Earle by Buddy Wasisname and The Other Fellers,"Chainsaw Earle by Buddy Wasisname and The Other Fellers: ""Chainsaw Earle"" is an original and highly amusing song written by Wayne Chaulk and Kevin Blackmore of the band Buddy Wasisname and the Other Fellers. A ...",,
1083,Canadian,Chai Tea Sunday by Heather Clark,Chai Tea Sunday by Heather Clark:  ;Explore the true resilience of the heart and our raw determination to find goodness in a world fraught with adversityOne woman's courage in the face of ...,,
1084,Canadian,Chalk by Doug Diaczuk,"Chalk by Doug Diaczuk: Winner of the 38th Annual 3-Day Novel-Writing Contest""You"" and L, a mysterious third gender runaway, hit the road on a mission to find the meaning of life. ...",,
1085,Canadian,Chalk Valley by Daniel Johnstone,"Chalk Valley by Daniel Johnstone: In a remote mountain valley in British Columbia, a human monster preys on innocent lives. After teenagers discover the body of a missing girl in Chalk Valley, ...",,
1086,Canadian,Chameleon (Days) by Dean Seravalle,"Chameleon (Days) by Dean Seravalle: What happens when the narrator is removed from a story? When the author's real life is fictionalized instead, so that creator and creation relate on the same ...",,
1087,Canadian,Champagne for Buzzards by Phyllis Smallman,"Champagne for Buzzards by Phyllis Smallman: With its seven-foot snakes and nasty horses, Florida ranch country can be as dangerous as the mean streets of any big city. Sherri Travis doesn't do country. ...",,
1089,Canadian,Changing Constantinou's Game by Jennifer Hayward,"Changing Constantinou's Game by Jennifer Hayward: One kiss couldn't hurt, could it? ;Alexios Constantinou is notorious for his lethal charm, so when the exquisite Isabel Peters is?literally?dropped into his lap ...",,
1090,Canadian,Changing Heaven by Jane Urquhart,"Changing Heaven by Jane Urquhart: Two worlds are intertwined in this hauntingly beautiful story as it moves from Toronto to the English moors and to Venice, Italy. The time frame shifts between ...",,
1091,Canadian,Chaosbound by David Farland,"Chaosbound by David Farland: Borenson is set on a quest to save the devastated world from certain destruction. But the land has been altered forever: in the change, Borenson has merged ...",,
1092,Canadian,Character Actor by Scott Randall,"Character Actor by Scott Randall: In Character Actor, his second collection of short stories, Scott Randall once again gets right to the heart of ordinary characters, not the brilliantly ...",,
1093,Canadian,Charles the Bold by Yves Beauchemin,Charles the Bold by Yves Beauchemin: Possibly the greatest novel published in Canada in 2004  the first in a historic series.It's as if Dickens or Balzac  or Rohinton Mistry  had ...,,
1094,Canadian,Charleswood Road by M. C. Joudrey,"Charleswood Road by M. C. Joudrey: The fiction and prose selections included in Charleswood Road contrast stark reality with fantasy, mortality with transcendence and explore both the mundane ...",,
1095,Canadian,Charley's Web by Joy Fielding,Charley's Web by Joy Fielding: The New York Times and internationally bestselling author is at her heart-skipping best with her latest mesmerizing triumph . . . Charley's Web.Charley Web ...,,
1096,Canadian,Charlie Muskrat by Harold Johnson,"Charlie Muskrat by Harold Johnson: And there he was - Charlie Muskrat, out of moose meat for the winter and committed to getting some, who finds himself in Prince Albert with a 30/30 Winchester ...",,
1097,Canadian,Charting the Darkness by A.C. Geisel,"Charting the Darkness by A.C. Geisel: American-born fighter pilot and Vietnam veteran, Nick Sullivan, is a broken man. Abandoned for dead by his family while he rotted in a Viet Cong prison camp, ...",,
1098,Canadian,Chasing Nathan by Jeanette Hubbard,"Chasing Nathan by Jeanette Hubbard: Jeanette Hubbard's humorous style of suspense writing has been compared to Carl Hiaasen and Janet Evanovitch. In this quirky follow-up novel, a chance ...",,
1099,Canadian,Chasing Painted Horses by Drew Hayden Taylor,"Chasing Painted Horses by Drew Hayden Taylor: When Ralph Thomas comes across graffiti of a horse in an alleyway in the early hours of the morning, he is stopped in his tracks. He recognizes this horse. A ...",,
1100,Canadian,Chasing Red by Isabelle Ronin,"Chasing Red by Isabelle Ronin: Chosen as one of Goodreads' 21 Big Books of FallThey said she was going to be my ruin...Then let her ruin me.Caleb Lockhart has everythingwealth, ...",,
1101,Canadian,Chasing River by K.A. Tucker,"Chasing River by K.A. Tucker: In the third novel in nationally bestselling author K.A. Tucker's romantic suspense series, a young woman travels to Dublin and finds herself at the scene of ...",,
1102,Canadian,Chasing the Wind by C.C. Humphreys,"Chasing the Wind by C.C. Humphreys: Smuggler. Smoker. Aviatrix. Thief. The dynamic Roxy Loewen is all these things and more, in this riveting and gorgeous historical fiction novel for readers of ...",,
1103,Canadian,Cheap Thrills by David Kloepfer,"Cheap Thrills by David Kloepfer: Cheap Thrills takes place over the course of a single weekend, beginning with the incessantly stoned Ethan and his roommate Phil discovering the body of their ...",,
1104,Canadian,Cheat the Hangman by Gloria Ferris,Cheat the Hangman by Gloria Ferris: WINNER OF THE 2012 BONY BLITHE LIGHT MYSTERY AWARD! ; ;Lyris Pembrooke unearths a terrible family secret in the old mansion she recently inherited. Investigating ...,,
1105,Canadian,"Checkout Girl, The by Susan Zettell","Checkout Girl, The by Susan Zettell: It's 1970, and the optimism of Trudeaumania is giving way to fears of wage and price controls. In Varnum, Ontario, where the smell of industry is the smell of ...",,
1106,Canadian,Chef by Jaspreet Singh,"Chef by Jaspreet Singh: Jaspreet Singh follows his highly-acclaimed short story collection, Seventeen Tomatoes: Tales from Kashmir with an elegiac and hypnotic novel. Chef is a ...",,
1107,Canadian,Cherry Beach Express by R. D.  Cain,Cherry Beach Express by R. D.  Cain: When Steve Nastos is wrongfully accused of murdering his dentist?a man whom he believes committed an unspeakable crime against his daughter?he decides to take ...,,
1108,Canadian,Cherry Blossoms by Wes Funk,"Cherry Blossoms by Wes Funk: Frustrated and disenchanted with farm life and marriage, Cherry Markowsky grabs her dog and heads toward a new beginning in the city of Saskatoon. Yet between ...",,
1109,Canadian,Cherry Electra by Matt Duggan,"Cherry Electra by Matt Duggan: A harrowing, sexy, sly, subversive novel about an addictive love affair, an explosive relationship, a twisted storyteller, and a cherry car.Locked in jail, a ...",,
1110,Canadian,Chez l'arabe by Mireille Silcoff,Chez l'arabe by Mireille Silcoff: A dazzling debut collection from award-winning journalist and New York Times Magazine contributor Mireille Silcoff.Inspired by the real life medical struggles ...,,
1111,Canadian,Chicken by Lynn Crosbie,"Chicken by Lynn Crosbie: Set in disparate parts of Los Angeles, Chicken uproariously, grievously, relates the collision and inevitably ruinous paths of two incendiary figures. One is ...",,
1112,Canadian,Child of a Hidden Sea by A.M. Dellamonica,"Child of a Hidden Sea by A.M. Dellamonica: Child of a Hidden Seaby A.M. Dellamonica is a rousing tale of adventure and adversity, politics and personal trialsOne minute, twenty-four-year-old Sophie ...",,
1113,Canadian,Children in the Morning by Anne Emery,"Children in the Morning by Anne Emery: When Beau Delaney, the Halifax hotshot whose exploits are the subject of a new Hollywood film, is charged with the murder of his wife Peggy, it's lawyer and ...",,
1114,Canadian,Children of Earth and Sky by Guy Gavriel Kay,Children of Earth and Sky by Guy Gavriel Kay: The bestselling author of the groundbreaking novels Under Heaven and River of Stars evokes a world inspired by the conflicts and dramas of Renaissance Europe. ...,,
1115,Canadian,Children of My Heart by Gabrielle Roy,"Children of My Heart by Gabrielle Roy: Set in the prairies in the 1930s, and rich with the author's own memories of her time there as a young woman, this is a powerful story of an impressionable ...",,
1116,Canadian,Children of the Bloodlands by S. M. Beiko,"Children of the Bloodlands by S. M. Beiko:  ;The dazzling second book in S.M. Beiko's Realms of Ancient seriesThree months after the battle of Zabor, the five friends that came together to defeat her ...",,
1117,Canadian,Children of the Moon by Anthony De Sa,"Children of the Moon by Anthony De Sa: From celebrated author Anthony De Sa comes a raw and compelling novel of love, war and the heartbreaking effects of memory.""'You must listen to my words. You ...",,
1118,Canadian,Children of the Revolution by Peter Robinson,"Children of the Revolution by Peter Robinson: A disgraced college lecturer is found murdered with Â£5,000 in his pocket on a disused railway line near his home. Since being dismissed from his job for ...",,
1119,Canadian,Children of the Tide by Jon Redfern,"Children of the Tide by Jon Redfern: London: the early 1840s. The birth of the young Queen Victoria's first child is taken as an auspicious sign for all. But on a cold March night, a spree of ...",,
1120,Canadian,Chilling Tales: Evil I Did Dwell; Llewd Did I Live by Michael Kelly,"Chilling Tales: Evil I Did Dwell; Llewd Did I Live by Michael Kelly: 18 Spine-tingling Tales Best Served Chilled...This tome includes selections by iconic Canadian dark fantasy and horror writers Nancy Kilpatrick, Claude ...",,
1121,Canadian,Chilling Tales Two by Michael Kelly,"Chilling Tales Two by Michael Kelly: 20 New Spine Tingling Tales... Canada's maestro of the macabre, Michael Kelly, bring you Chilling Tales: In Words, Alas, Drown I, an all new collection of ...",,
1122,Canadian,Chimerascope by Douglas Smith,"Chimerascope by Douglas Smith: Chimerascope is the first full collection of short fiction from awardwinning Canadian author, Douglas Smith. Sixteen engaging stories of fantasy and science ...",,
1123,Canadian,"Chinese Knot, The by Lien Chao","Chinese Knot, The by Lien Chao: Award-winning author Lien Chao weaves together these emotionally charged short stories focusing on Chinese immigrants in Toronto's multiracial neighbourhoods.  ...",,
1124,Canadian,Chinkstar by Jon Chan Simpson,"Chinkstar by Jon Chan Simpson: Chinksta rap is all the rage in Red Deer, Alberta. And the king of Chinksta is King Kwong, Run's older brother. Run isn't a fan of Kwong's music "" or ...",,
1125,Canadian,Chin Music by Gregory Roberts,"Chin Music by Gregory Roberts: I guess I can blame my name on the 70s, the decade my parents went to college. I think the decade instilled in many people a burning desire to give their ...",,
1126,Canadian,Chloe Sparrow by Lesley Crewe,"Chloe Sparrow by Lesley Crewe: Chloe Sparrow is a twenty-five-year-old TV producer with a hit show on her hands. The Single Guy is a popular new reality series, where dozens of women are ...",,
1127,Canadian,Chocolate Cherry Chai by Taslim Burkowicz,"Chocolate Cherry Chai by Taslim Burkowicz:  ;Young, free-spirited Maya Mubeen leaves behind the pressures of family, marriage and tradition for a life of experience and adventure  proving to herself, ...",,
1128,Canadian,Choose Your Own Misery: Dating by Mike MacDonald,Choose Your Own Misery: Dating by Mike MacDonald: From The Onion alum writers Mike MacDonald and Jilly Gagnon comes a hilarious choose-your-own-path story to that will save you hours of suffering on Tinder.The ...,,
