id,origin,book,details,character_count,word_count
23,Canadian,7 Ways to Sunday by Lee Kvern,7 Ways to Sunday by Lee Kvern: Lee Kvern's much-anticipated new collection contains stories which revolve around humanity in all its flawed glory: an artist's girlfriend dies by mistake; a ...,,
24,Canadian,88 by Michael Fletcher,"88 by Michael Fletcher: The dream of Artificial Intelligence is dead and the human mind is now the ultimate processing machine. Demand is high, but few are willing to sacrifice their ...",,
25,Canadian,8 X 10 by Michael Turner,"8 X 10 by Michael Turner: Shockingly original and intensely intelligent, 8 X 10 is a series of snapshots of a world torn apart by war and migration.Fearless in form, Michael Turner's ...",,
26,Canadian,Etienne's Alphabet by James King,"Etienne's Alphabet by James King: To all who knew him, Etienne Morneau lived unremarkably. Raised in an orphanage, his parents unknown, people considered him reserved, unfeeling, and ...",,
27,Canadian,A by Andre Alexis,"A by Andre Alexis: A is a work of fiction in which Andre Alexis presents the compelling narrative of Alexander Baddeley, a Toronto book reviewer obsessed with the work of the ...",,
28,Canadian,Aaron by Yves Theriault,"Aaron by Yves Theriault: W. Donald Wilson and Paul G. Socken's translation of Aaron, by Quebecois author Yves Theriault, makes this fine novel available in English for the first ...",,
29,Canadian,A Baby by Easter & A Family for Summer by Lois Richer,A Baby by Easter & A Family for Summer by Lois Richer: Author Lois Richer brings you two stories of love and faithA Baby by Easter Susannah Wells and her unborn baby have nowhere to turn. So when she encounters ...,,
30,Canadian,A Baby for Christmas by Linda Ford,"A Baby for Christmas by Linda Ford: From Pregnant Widow to Cowboy's Bride ;For widow Louise Porter, a temporary marriage to cowboy Nate Hawkins seems the only solution to protect her unborn child. ...",,
31,Canadian,A Bargain with the Boss by Barbara Dunlop,"A Bargain with the Boss by Barbara Dunlop: With her boss, it's all work and all pleasure! Only from New York Times bestselling author Barbara Dunlop! ;For years, Tuck Tucker has played the role of ...",,
32,Canadian,Abattoir Blues by Peter Robinson,"Abattoir Blues by Peter Robinson: Canada's premier, bestselling crime fiction writer, Peter Robinson gets better and better. The twenty-second book in the much-loved Inspector Banks series  ...",,
33,Canadian,Abby's Journey by Steena Holmes,"Abby's Journey by Steena Holmes: Twenty-year-old Abigail Turner has only known her mother, Clairewho died shortly after she was bornthrough letters, videos, postcards, and journals. ...",,
34,Canadian,A Beautiful Truth by Colin McAdam,"A Beautiful Truth by Colin McAdam:  ; A novel about the simple truths that transcend species, about the meaning of family, the lure of belonging, and the capacity for survival   Walt and Judy are ...",,
35,Canadian,A Beauty by Connie Gault,A Beauty by Connie Gault: A spellbinding and highly original novel that gives a new name to the Prairie Novel by one of the most exciting new literary voices in Canada. For readers of ...,,
36,Canadian,A Beckoning War by Matthew Murphy,"A Beckoning War by Matthew Murphy: Winner: 2016 Foreword Reviews INDIES, Silver, War and Military (Adult Fiction) Captain Jim McFarlane, a Canadian infantry officer, is coming apart at the seams. ...",,
37,Canadian,A Better Man by Louise Penny,"A Better Man by Louise Penny: """"A Better Man,' with its mix of meteorological suspense, psychological insight and criminal pursuit, is arguably the best book yet in an outstanding, ...",,
38,Canadian,A Bird in the House by Margaret Laurence,"A Bird in the House by Margaret Laurence: One of Canada's most accomplished authors combines the best qualities of both the short story and the novel to create a lyrical evocation of the beauty, ...",,
